,,,,,,,,,Integrated Y1,Integrated Y2
,,,,,,,,,"Integrate of H x=(-21.8409,-0.0009) Area = 6.25841","Integrate of I x=(-21.8409,-0.0009) Area = -16.0513"
-16.9109,0.001136,-0.001145,0.003771,-0.003737,0.005154,-0.00491,0.010064,-0.1701912976,0.033315621,-0.63894329461729
-16.8969,0.001219,-0.001233,0.003716,-0.003676,0.005394,-0.005131,0.010525,-0.1778398725,0.033459744,-0.641379512807991
-16.8829,0.001316,-0.001332,0.003643,-0.0036,0.005619,-0.005336,0.010955,-0.1849521695,0.033610104,-0.64391905710199
-16.8689,0.001421,-0.001441,0.003555,-0.003509,0.00582,-0.005519,0.011339,-0.1912764571,0.033766162,-0.64655265748819
-16.8549,0.001541,-0.001565,0.003459,-0.003412,0.005999,-0.005682,0.011681,-0.1968820869,0.033927302,-0.64926976729619
-16.8399,0.001674,-0.001702,0.003355,-0.003307,0.006151,-0.005818,0.011969,-0.2015567631,0.034104677,-0.65225805867119
-16.8259,0.001824,-0.001856,0.003249,-0.003204,0.006278,-0.005932,0.01221,-0.205444239,0.03427393,-0.65510706568589
-16.8119,0.001991,-0.002027,0.003147,-0.003103,0.006378,-0.006021,0.012399,-0.2084507481,0.034446193,-0.65800433059559
-16.7979,0.002177,-0.002217,0.003049,-0.003009,0.006451,-0.006085,0.012536,-0.2105784744,0.034620738,-0.660937535153091
-16.7829,0.002383,-0.002427,0.002962,-0.002927,0.006501,-0.006128,0.012629,-0.2119512441,0.0348094755,-0.66410650804184
-16.7689,0.002609,-0.002655,0.002886,-0.002856,0.006528,-0.006151,0.012679,-0.2126128831,0.0349866315,-0.667078456932241
-16.7549,0.002854,-0.002903,0.002825,-0.002801,0.006535,-0.006156,0.012691,-0.2126364359,0.0351642215,-0.670055202165241
-16.7409,0.003119,-0.003168,0.00278,-0.002763,0.006525,-0.006146,0.012671,-0.2121239439,0.0353417555,-0.67302852482384
-16.7259,0.003402,-0.003448,0.002754,-0.002744,0.006504,-0.006126,0.01263,-0.211248117,0.035531513,-0.67620381528059
-16.7119,0.0037,-0.003741,0.002747,-0.002744,0.006472,-0.006096,0.012568,-0.2100351592,0.035707899,-0.67915279821399
-16.6979,0.004008,-0.004043,0.002759,-0.002762,0.006431,-0.006058,0.012489,-0.2085400731,0.035883298,-0.68208282484009
-16.6839,0.004324,-0.004348,0.002792,-0.002801,0.00639,-0.006018,0.012408,-0.2070138312,0.036057577,-0.68499170217019
-16.6689,0.00464,-0.00465,0.002842,-0.002856,0.006344,-0.005974,0.012318,-0.2053275102,0.036243022,-0.68808426223069
-16.6549,0.004951,-0.004942,0.002908,-0.002927,0.006293,-0.005925,0.012218,-0.2034895682,0.036414774,-0.69094598177949
-16.6409,0.005249,-0.005218,0.002991,-0.003012,0.006247,-0.005878,0.012125,-0.2017709125,0.036585175,-0.693782805144391
-16.6269,0.005525,-0.00547,0.003086,-0.00311,0.006194,-0.005824,0.012018,-0.1998220842,0.036754176,-0.69659395612129
-16.6119,0.005774,-0.00569,0.003192,-0.003217,0.006144,-0.005771,0.011915,-0.1979307885,0.0369336735,-0.69957710266654
-16.5979,0.005987,-0.005871,0.003306,-0.00333,0.006086,-0.005709,0.011795,-0.1957722305,0.0370996435,-0.70233302379954
-16.5839,0.006157,-0.006009,0.003426,-0.003448,0.006028,-0.005647,0.011675,-0.1936170325,0.0372639335,-0.70505874864054
-16.5699,0.006279,-0.006097,0.003548,-0.003567,0.005962,-0.005574,0.011536,-0.1911503664,0.0374264105,-0.70775212043284
-16.5549,0.006349,-0.006135,0.003669,-0.003683,0.005885,-0.005493,0.011378,-0.1883616522,0.0375982655,-0.71059846057234
-16.5409,0.006365,-0.006119,0.003786,-0.003794,0.005803,-0.005404,0.011207,-0.1853738663,0.0377563605,-0.71321460920184
-16.5269,0.006327,-0.006053,0.003897,-0.003898,0.00571,-0.005306,0.011016,-0.1820603304,0.0379119215,-0.71578664857874
-16.5129,0.006236,-0.005937,0.003999,-0.00399,0.005607,-0.005198,0.010805,-0.1784218845,0.0380646685,-0.71831002408304
-16.4979,0.006097,-0.005777,0.004089,-0.00407,0.005494,-0.00508,0.010574,-0.1744487946,0.038225011,-0.72095655417629
-16.4839,0.005914,-0.005578,0.004164,-0.004134,0.00537,-0.004953,0.010323,-0.1701632997,0.03837129,-0.72336883883639
-16.4699,0.005693,-0.005347,0.004223,-0.00418,0.005236,-0.004817,0.010053,-0.1655719047,0.038513922,-0.72571898526719
-16.4559,0.005442,-0.00509,0.004263,-0.004206,0.005092,-0.004672,0.009764,-0.1606754076,0.038652641,-0.72800271645329
-16.4409,0.005167,-0.004815,0.004282,-0.004211,0.004939,-0.00452,0.009459,-0.1555144731,0.0387968135,-0.73037414055854
-16.4269,0.004877,-0.004529,0.004279,-0.004193,0.004777,-0.00436,0.009137,-0.1500925853,0.0389269855,-0.73251338996734
-16.4129,0.004579,-0.004239,0.004254,-0.004153,0.004607,-0.004193,0.0088,-0.14443352,0.0390525445,-0.73457507270444
-16.3989,0.004279,-0.003951,0.004206,-0.004091,0.004432,-0.004022,0.008454,-0.1386363006,0.0391733225,-0.73655656144864
-16.3839,0.003983,-0.003669,0.004136,-0.004007,0.004251,-0.003846,0.008097,-0.1326604383,0.039297455,-0.73859128699039
-16.3699,0.003696,-0.003399,0.004046,-0.003904,0.004066,-0.003669,0.007735,-0.1266211765,0.039408279,-0.74040625829399
-16.3559,0.003423,-0.003144,0.003937,-0.003784,0.00388,-0.003491,0.007371,-0.1205593389,0.039514021,-0.74213652190179
-16.3419,0.003167,-0.002907,0.003812,-0.003652,0.003694,-0.003315,0.007009,-0.1145403771,0.039614681,-0.74378221991379
-16.3269,0.002931,-0.00269,0.003676,-0.003509,0.003511,-0.003144,0.006655,-0.1086555195,0.039717161,-0.74545618913829
-16.3129,0.002716,-0.002495,0.003532,-0.003362,0.003335,-0.002979,0.006314,-0.1029996506,0.039807944,-0.74693777532899
-16.2989,0.002524,-0.002321,0.003385,-0.003213,0.003166,-0.002823,0.005989,-0.0976141121,0.039894065,-0.74834207166789
-16.2849,0.002353,-0.002171,0.003238,-0.003068,0.003006,-0.002682,0.005688,-0.0926285112,0.039975804,-0.74967377003099
-16.2699,0.002208,-0.002038,0.003097,-0.002929,0.002865,-0.002546,0.005411,-0.0880364289,0.0400590465,-0.75102875708174
-16.2559,0.00208,-0.001928,0.002963,-0.002802,0.002729,-0.002428,0.005157,-0.0838316763,0.0401330225,-0.75223183381814
-16.2419,0.001976,-0.00184,0.002843,-0.002688,0.002614,-0.00233,0.004944,-0.0802999536,0.0402037295,-0.75338075522744
-16.2279,0.00189,-0.001765,0.002737,-0.002589,0.00252,-0.002242,0.004762,-0.0772772598,0.0402716715,-0.75448379572124
